# Nachtrag zu orte.tsv - deutsche Gemeinden aus DE.txt (ADM4),
# die in cities1000 fehlen.  Erzeugt mit 'geocode.py --gemeinden'.
# name	lat	lon	cc	land	pop	region
Loitz	53.96670	13.13330	DE	Deutschland	4189	
Ludwigsau	50.92467	9.69565	DE	Deutschland	5375	
Lunow-Stolzenhagen	52.93330	14.10830	DE	Deutschland	1143	
Löcknitz	53.46488	14.21074	DE	Deutschland	3280	
Löwenberger Land	52.89580	13.17290	DE	Deutschland	8508	
Lüdersdorf	53.83330	10.81670	DE	Deutschland	5159	
Lützelbach	49.78830	9.07528	DE	Deutschland	6755	
Lützen	51.23170	12.11060	DE	Deutschland	8242	
Mandelbachtal	49.18725	7.15035	DE	Deutschland	10844	
Marienmünster	51.82271	9.22787	DE	Deutschland	4791	
Markt Eckental	49.58407	11.21748	DE	Deutschland	14476	
Marne	53.94680	9.01420	DE	Deutschland	5586	
Marxzell	48.85275	8.44646	DE	Deutschland	5040	
Mechernich	50.63990	6.70420	DE	Deutschland	29187	
Medelby	54.81670	9.18333	DE	Deutschland	1053	
Meine	52.37691	10.57033	DE	Deutschland	8286	
Meißner	51.19897	9.92035	DE	Deutschland	2915	
Mettlach	49.50000	6.60000	DE	Deutschland	12621	
Meyenburg	53.31670	12.23330	DE	Deutschland	2061	
Mindelstetten	48.85120	11.64390	DE	Deutschland	1823	
Mirow	53.26670	12.81670	DE	Deutschland	3711	
Moormerland	53.31970	7.42273	DE	Deutschland	23365	
Mossautal	49.64718	8.91581	DE	Deutschland	2415	
Muldestausee	51.63888	12.49443	DE	Deutschland	11540	
Märkisch Linden	52.92920	12.70830	DE	Deutschland	1207	
Märkisch Luch	52.58750	12.61670	DE	Deutschland	1372	
Märkische Heide	52.04684	14.01247	DE	Deutschland	3757	
Möckern	52.21120	11.96910	DE	Deutschland	12591	
Möser	52.21670	11.80000	DE	Deutschland	8386	
Mücke	50.62647	9.04491	DE	Deutschland	9267	
Mühlenbecker Land	52.67363	13.36159	DE	Deutschland	15177	
Mühlental	50.37894	12.25689	DE	Deutschland	1165	
Mühlhausen	49.16670	11.45000	DE	Deutschland	5251	
Nassenfels	48.79794	11.22870	DE	Deutschland	2348	
Neetze	53.26520	10.62134	DE	Deutschland	2831	
Neiße-Malxetal	51.64330	14.63000	DE	Deutschland	1530	
Neißeaue	51.25887	14.98740	DE	Deutschland	1603	
Neißemünde	52.05000	14.73330	DE	Deutschland	1587	
Nessetal	51.00794	10.65524	DE	Deutschland	7938	
Neuburg	53.95000	11.60000	DE	Deutschland	2166	
Neuburg a.d.Kammel	48.30000	10.36670	DE	Deutschland	3260	
Neuenkirchen	52.41670	7.85000	DE	Deutschland	4640	
Neuenkirchen-Vörden	52.51670	8.06667	DE	Deutschland	8858	
Neuenstein	50.91365	9.56762	DE	Deutschland	2981	
Neuerburg	50.01670	6.30000	DE	Deutschland	1344	
Neuhausen ob Eck	47.96670	8.93333	DE	Deutschland	4206	
Neuhausen/Spree	51.68330	14.41670	DE	Deutschland	4814	
Neunkirchen	49.70720	9.40250	DE	Deutschland	1428	
Neunkirchen-Seelscheid	50.86670	7.32500	DE	Deutschland	20283	
Neuried	48.45219	7.80748	DE	Deutschland	9919	
Neustadt (Wied)	50.61670	7.43333	DE	Deutschland	6526	
Niedere Börde	52.23898	11.53214	DE	Deutschland	6726	
Niederer Fläming	51.90250	13.20920	DE	Deutschland	3021	
Niemetal	51.51354	9.69226	DE	Deutschland	1420	
Nordstrand	54.48683	8.89642	DE	Deutschland	2326	
Nordwestuckermark	53.32676	13.69245	DE	Deutschland	4097	
Nottertal-Heilinger Höhen	51.18623	10.68200	DE	Deutschland	5750	
Nuthetal	52.30610	13.11267	DE	Deutschland	9376	
Nüsttal	50.65106	9.85975	DE	Deutschland	2850	
Oberaurach	49.92710	10.63330	DE	Deutschland	4053	
Oberdolling	48.83330	11.58330	DE	Deutschland	1360	
Oberharz am Brocken	51.76670	10.80000	DE	Deutschland	9547	
Oberkrämer	52.69844	13.10257	DE	Deutschland	12145	
Oberroth	48.16670	10.18330	DE	Deutschland	1005	
Obersulm	49.13298	9.39061	DE	Deutschland	13756	
Oberuckersee	53.21250	13.88750	DE	Deutschland	1589	
Oderaue	52.77730	14.20420	DE	Deutschland	1560	
Ohrdruf	50.81670	10.73330	DE	Deutschland	9991	
Oranienbaum-Wörlitz	51.79988	12.40082	DE	Deutschland	7998	
Osterode am Harz	51.73180	10.23990	DE	Deutschland	21598	
Osterwieck	51.96670	10.71670	DE	Deutschland	11045	
Perl	49.46670	6.38333	DE	Deutschland	9503	
Petersberg	51.59637	11.95304	DE	Deutschland	9329	
Pettendorf	49.06670	12.00000	DE	Deutschland	3438	
Pfinztal	48.98619	8.54462	DE	Deutschland	18178	
Pförring	48.81670	11.68330	DE	Deutschland	4150	
Plech	49.66690	11.46440	DE	Deutschland	1350	
Pohlheim	50.52909	8.72469	DE	Deutschland	17677	
Pollenfeld	48.95000	11.20000	DE	Deutschland	3056	
Pöhl	50.55000	12.18330	DE	Deutschland	2367	
Raguhn-Jeßnitz	51.72381	12.24761	DE	Deutschland	8702	
Rauhenebrach	49.89414	10.57512	DE	Deutschland	2744	
Ravenstein	49.40000	9.50000	DE	Deutschland	2999	
Rees	51.80970	6.40040	DE	Deutschland	21913	
Reichertshausen	48.46667	11.51667	DE	Deutschland	5188	
Reichshof	50.95367	7.68762	DE	Deutschland	18688	
Reinhardshagen	51.49499	9.60399	DE	Deutschland	4291	
Reken	51.82378	7.06641	DE	Deutschland	15109	
Rerik	54.10536	11.61276	DE	Deutschland	2166	
Rhönblick	50.55489	10.28629	DE	Deutschland	2588	
Ried	48.28976	11.04276	DE	Deutschland	3234	
Riedbach	50.10358	10.44030	DE	Deutschland	1729	
Ringgau	51.08704	10.08145	DE	Deutschland	2830	
